Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
2160342,LONTREL 600,DOW AGROSCIENCES SAS,clopyralid dimÃ©thylamine (Clopyralid) 741 g/L,L/ha
2160704,ROUNDUP 720,MONSANTO SAS,glyphosate sel d'ammonium (Glyphosate) 832 g/kg,kg/ha
2160752,ONYX,BELCHIM CROP PROTECTION NV/SA,Pyridate (Pyridate) 600 g/L,L/ha
2160271,NEO-STOP 120 RTU,ARYSTA LIFESCIENCE BENELUX SPRL,chlorprophame (Chlorpropham) 120 g/L,L/t
2160726,DELAN PRO,BASF FRANCE SAS,dithianon (Dithianon) 125 g/L | Phosphonate de potassium (Phosphonate de potassium) 561.2 g/L,L/ha
2160484,DIFEND EXTRA,GLOBACHEM NV,difÃ©noconazole (Difenoconazole) 25 g/L | Fludioxonil (Fludioxonil) 25 g/L,L/q
9600390,TYPHON,ADAMA FRANCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2100166,TYPHON JARDIN,ADAMA FRANCE SAS,glyphosate sel d'isopropylamine (Glyphosate) 485.9 g/L,mL/10 mÂ²
2130034,SOLOFOL,BELCHIM CROP PROTECTION NV/SA,folpel (Folpet) 800 g/kg,kg/ha
8600243,CHALLENGE 600,BAYER SAS,aclonifÃ¨ne (Aclonifen) 600 g/L,L/ha
2120216,ALPHATAR,C.P.C CROP PROTECTION COMPANY,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 100 g/L,L/ha
9400410,TCHAO PLUS EV,MONSANTO SAS,glyphosate sel d'isopropylamine (Glyphosate) 360 g/L,
2020013,BRONCO,ADAMA FRANCE SAS,bromoxynil ester octanoÃ¯que (Bromoxynil) 225 g/L,L/ha
2150002,BREVIS,ADAMA FRANCE SAS,Metamitron (Metamitron) 150 g/kg,kg/ha
2010584,TECTO 500 SC,SYNGENTA FRANCE SAS,thiabendazole (Thiabendazole) 500 g/L,L/hL
9800555,ASTEROIDE,CHEMINOVA A/S,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2150790,NATUREN LIMEX,SCOTTS FRANCE S.A.S.,phosphate ferrique (Ferric phosphate) 10 g/kg,g/10 mÂ²
2160005,VERIGAL D+,ADAMA FRANCE SAS,bifÃ©nox (Bifenox) 250 g/L | mÃ©coprop-P (Mecoprop-P) 308 g/L,L/ha
9200494,SONIS,SYNGENTA FRANCE SAS,ethephon (Ethephon) 250 g/L | trinexapac-Ã©thyl (Trinexapac) 250 g/L,L/ha
2100218,SORMIOU DISPERSS,CEREXAGRI S.A.S.,quinoxyfÃ¨ne (Quinoxyfen) 7 g/kg | soufre (Sulphur) 800 g/kg,kg/ha
2010324,SPAHIS JARDIN,PHYTEUROP,metaldÃ©hyde (Metaldehyde) 5 %,g/mÂ²
2150755,MOLIDOR,SAPEC AGRO SA,azoxystrobine (Azoxystrobin) 93.5 g/L | folpel (Folpet) 500 g/L,L/ha
8400255,ALLIE,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 20 %,kg/ha
9600398,ALLIAGE,BASF FRANCE SAS,krÃ©soxime-mÃ©thyle (Kresoxim-methyl) 50 %,kg/hL
2060119,ALLIE SX,DUPONT SOLUTIONS (FRANCE) S.A.S.,Metsulfuron-methyl (Metsulfuron-methyl) 20 %,kg/ha
9600386,ALIETTE EV,BAYER SAS,fosÃ©tyl (Fosetyl) 80 %,g/L
9600025,ALIETTE FLASH,BAYER SAS,fosÃ©tyl (Fosetyl) 80 %,kg/ha
2120088,ALLEATO 80 WG,HELM AG,fosÃ©tyl (Fosetyl) 800 g/kg,kg/ha
2110177,CHEROKEE,SYNGENTA FRANCE SAS,chlorothalonil (Chlorothalonil) 375 g/L | cyproconazole (Cyproconazole) 50 g/L | propiconazole (Propiconazole) 62.5 g/L,L/ha
2120205,CERIAX,BASF FRANCE SAS,Ã©poxiconazole (Epoxiconazole) 41.6 g/L | Pyraclostrobin (Pyraclostrobin) 66.6 g/L | fluxapyroxad (Fluxapyroxad) 41.6 g/L,L/ha
8900633,UMUPRO JARDIN GLU,RHODIA CHIMIE,Huile de riccin ethoxylee (Huile de riccin ethoxylee) 64 % | rÃ©sines (Resines) 32 %,
2130226,SABUESO,"PROPLAN Plant Protection Company, S.L.",iprodione (Iprodione) 500 g/kg,kg/ha
9800401,SPASIS,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2150104,OVIPRON EXTRA,CEREXAGRI S.A.S.,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2010613,ALL IN ONE,CHEMINOVA A/S,glyphosate sel d'isopropylamine (Glyphosate) 486 g/L,L/ha
2110059,ARMICARB,DE SANGOSSE,Bicarbonate de potassium (Bicarbonate de potassium) 850 g/kg | hydrogÃ©nocarbonate de potassium (Potassium hydrogen carbonate) 850 g/kg,kg/ha
2110196,ARMICARB JARDIN,DE SANGOSSE,hydrogÃ©nocarbonate de potassium (Potassium hydrogen carbonate) 850 g/kg,g/mÂ²
2110195,CERTASOL,FLÃœGEL GMBH,farine de sang (Blood meal) 998 g/kg,kg/ha
2150103,ACTIPRON EXTRA,CEREXAGRI S.A.S.,huile de paraffine (Paraffin oils) 817 g/L,L/hL
